entry_time_ist,exit_time_ist,underlying,instrument,strategy,direction,entry_price,exit_price,quantity,gross_pnl_inr,fees_inr,net_pnl_inr,holding_min,exit_reason,status
2023-10-11 09:18,2023-10-11 09:19,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.40,25152.45,3075,439878.75,143475.20,296403.55,1.0,TP,WIN
2023-10-11 09:19,2023-10-11 09:20,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.45,25152.55,3075,440032.50,143475.70,296556.80,1.0,TP,WIN
2023-10-11 09:20,2023-10-11 09:21,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.35,25152.45,3075,440032.50,143475.13,296557.37,1.0,TP,WIN
2023-10-11 09:21,2023-10-11 09:22,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.45,25152.30,3075,439263.75,143474.62,295789.13,1.0,TP,WIN
2023-10-11 09:22,2023-10-11 09:23,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.60,25152.30,3075,438802.50,143474.82,295327.68,1.0,TP,WIN
2023-10-11 09:23,2023-10-11 09:24,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.60,25152.45,3075,439263.75,143475.47,295788.28,1.0,TP,WIN
2023-10-11 09:24,2023-10-11 09:25,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.45,25152.25,3075,439110.00,143474.40,295635.60,1.0,TP,WIN
2023-10-11 09:25,2023-10-11 09:26,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.65,25152.30,3075,438648.75,143474.89,295173.86,1.0,TP,WIN
2023-10-11 09:26,2023-10-11 09:27,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.60,25151.95,3075,437726.25,143473.30,294252.95,1.0,TP,WIN
2023-10-11 09:27,2023-10-11 09:28,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25009.95,25151.80,3075,436188.75,143473.13,292715.62,1.0,TP,WIN
2023-10-11 09:28,2023-10-11 09:29,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25010.10,25151.70,3075,435420.00,143472.90,291947.10,1.0,TP,WIN
2023-10-11 09:29,2023-10-11 09:30,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25010.20,25151.80,3075,435420.00,143473.47,291946.53,1.0,TP,WIN
2023-10-11 09:32,2023-10-11 09:47,NIFTY,FUTURE,S10_Tick_Scalp_Bid_Ask_Compression,LONG,29798.50,29909.40,2550,282795.00,20706.68,262088.32,15.0,TP,WIN
2023-10-12 11:30,2023-10-12 11:31,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25189.35,25329.75,3000,421200.00,140968.19,280231.81,1.0,TP,WIN
2023-10-13 13:00,2023-10-13 13:26,NIFTY,FUTURE,S13_EMA_Ribbon_Scalp_Fast,SHORT,32243.40,32090.90,2325,354562.50,20349.84,334212.66,26.0,TP,WIN
2023-10-16 09:33,2023-10-16 09:47,NIFTY,FUTURE,S10_Tick_Scalp_Bid_Ask_Compression,SHORT,29531.50,29422.55,2550,277822.50,20445.72,257376.78,14.0,TP,WIN
2023-10-17 12:30,2023-10-17 12:31,BANKNIFTY,CE,S2_VWAP_Reversion_BankNifty,LONG,53318.70,53618.80,1440,432144.00,143232.19,288911.81,1.0,TP,WIN
2023-10-17 12:31,2023-10-17 12:32,BANKNIFTY,CE,S2_VWAP_Reversion_BankNifty,LONG,53318.45,53619.05,1440,432864.00,143232.54,289631.46,1.0,TP,WIN
2023-10-17 12:32,2023-10-17 12:33,BANKNIFTY,CE,S2_VWAP_Reversion_BankNifty,LONG,53318.25,53618.65,1440,432576.00,143231.60,289344.40,1.0,TP,WIN
2023-10-17 12:33,2023-10-17 12:34,BANKNIFTY,CE,S2_VWAP_Reversion_BankNifty,LONG,53318.60,53618.40,1440,431712.00,143231.32,288480.68,1.0,TP,WIN
2023-10-17 12:34,2023-10-17 12:35,BANKNIFTY,CE,S2_VWAP_Reversion_BankNifty,LONG,53318.90,53618.30,1440,431136.00,143231.30,287904.70,1.0,TP,WIN
2023-10-18 09:23,2023-10-18 09:30,NIFTY,CE,S27_Gap_Up_Down_Fade_Options,LONG,29664.95,29505.05,2550,-407745.00,139940.55,-547685.55,7.0,SL,LOSS
2023-10-19 10:16,2023-10-19 10:17,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28225.55,28497.65,1800,489780.00,95083.37,394696.63,1.0,SL,WIN
2023-10-19 10:17,2023-10-19 10:18,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28233.05,28505.70,1800,490770.00,95109.84,395660.16,1.0,SL,WIN
2023-10-19 10:18,2023-10-19 10:19,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28231.95,28504.65,1800,490860.00,95106.29,395753.71,1.0,SL,WIN
2023-10-19 10:22,2023-10-19 10:23,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28198.00,28470.25,1800,490050.00,94991.66,395058.34,1.0,SL,WIN
2023-10-19 10:27,2023-10-19 10:28,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28172.15,28444.05,1800,489420.00,94904.37,394515.63,1.0,SL,WIN
2023-10-19 10:29,2023-10-19 10:30,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28203.05,28475.45,1800,490320.00,95008.93,395311.07,1.0,SL,WIN
2023-10-19 10:33,2023-10-19 10:34,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28170.05,28441.45,1800,488520.00,94896.08,393623.92,1.0,SL,WIN
2023-10-19 10:34,2023-10-19 10:35,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28123.90,28394.40,1800,486900.00,94739.53,392160.47,1.0,SL,WIN
2023-10-19 10:35,2023-10-19 10:36,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28135.95,28407.00,1800,487890.00,94781.21,393108.79,1.0,SL,WIN
2023-10-19 10:39,2023-10-19 10:40,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,28151.00,28422.35,1800,488430.00,94832.28,393597.72,1.0,SL,WIN
2023-10-19 10:42,2023-10-19 11:11,NIFTY,FUTURE,S10_Tick_Scalp_Bid_Ask_Compression,SHORT,28114.65,28179.35,2700,-174690.00,20632.38,-195322.38,29.0,SL,LOSS
2023-10-20 09:16,2023-10-20 09:17,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.25,25299.10,3000,422550.00,140796.85,281753.15,1.0,TP,WIN
2023-10-20 09:17,2023-10-20 09:18,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.35,25299.10,3000,422250.00,140796.98,281453.02,1.0,TP,WIN
2023-10-20 09:18,2023-10-20 09:19,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.35,25299.20,3000,422550.00,140797.40,281752.60,1.0,TP,WIN
2023-10-20 09:19,2023-10-20 09:20,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.25,25299.30,3000,423150.00,140797.69,282352.31,1.0,TP,WIN
2023-10-20 09:20,2023-10-20 09:21,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.15,25299.40,3000,423750.00,140797.99,282952.01,1.0,TP,WIN
2023-10-20 09:21,2023-10-20 09:22,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.05,25299.50,3000,424350.00,140798.28,283551.72,1.0,TP,WIN
2023-10-20 09:22,2023-10-20 09:23,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.95,25299.30,3000,424050.00,140797.30,283252.70,1.0,TP,WIN
2023-10-20 09:23,2023-10-20 09:24,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.15,25299.25,3000,423300.00,140797.35,282502.65,1.0,TP,WIN
2023-10-20 09:24,2023-10-20 09:25,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.20,25298.80,3000,421800.00,140795.51,281004.49,1.0,TP,WIN
2023-10-20 09:25,2023-10-20 09:26,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.65,25298.70,3000,420150.00,140795.68,279354.32,1.0,TP,WIN
2023-10-20 09:26,2023-10-20 09:27,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25158.75,25298.85,3000,420300.00,140796.45,279503.55,1.0,TP,WIN
2023-10-23 09:26,2023-10-23 09:35,BANKNIFTY,CE,S27_Gap_Up_Down_Fade_Options,LONG,57595.30,57284.95,1320,-409662.00,140643.80,-550305.80,9.0,SL,LOSS
2023-10-24 15:15,2023-10-24 15:16,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53118.60,53418.85,1440,432360.00,142697.43,289662.57,1.0,TP,WIN
2023-10-24 15:16,2023-10-24 15:17,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53118.60,53419.10,1440,432720.00,142697.94,290022.06,1.0,TP,WIN
2023-10-24 15:17,2023-10-24 15:18,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53118.35,53419.30,1440,433368.00,142698.19,290669.81,1.0,TP,WIN
2023-10-24 15:18,2023-10-24 15:19,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53118.10,53419.55,1440,434088.00,142698.54,291389.46,1.0,TP,WIN
2023-10-24 15:19,2023-10-24 15:20,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53117.90,53419.45,1440,434232.00,142698.21,291533.79,1.0,TP,WIN
2023-10-24 15:20,2023-10-24 15:21,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53117.95,53419.65,1440,434448.00,142698.64,291749.36,1.0,TP,WIN
2023-10-24 15:21,2023-10-24 15:22,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53117.75,53419.60,1440,434664.00,142698.41,291965.59,1.0,TP,WIN
2023-10-24 15:22,2023-10-24 15:23,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53117.80,53419.70,1440,434736.00,142698.65,292037.35,1.0,TP,WIN
2023-10-24 15:23,2023-10-24 15:24,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53117.75,53419.50,1440,434520.00,142698.21,291821.79,1.0,TP,WIN
2023-10-24 15:24,2023-10-24 15:25,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53117.95,53419.30,1440,433944.00,142697.93,291246.07,1.0,TP,WIN
2023-10-24 15:25,2023-10-24 15:26,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53118.10,53419.50,1440,434016.00,142698.43,291317.57,1.0,TP,WIN
2023-10-24 15:26,2023-10-24 15:27,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53117.95,53419.20,1440,433800.00,142697.73,291102.27,1.0,TP,WIN
2023-10-24 15:27,2023-10-24 15:28,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53118.25,53418.75,1440,432720.00,142697.00,290023.00,1.0,TP,WIN
2023-10-24 15:28,2023-10-24 15:29,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53118.70,53418.95,1440,432360.00,142697.70,289662.30,1.0,TP,WIN
2023-10-24 15:29,2023-10-24 15:30,BANKNIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,53118.45,56794.75,1440,5293872.00,149568.64,5144303.36,1.0,TIME,WIN
2023-10-25 09:30,2023-10-25 09:31,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25247.70,25390.85,3000,429450.00,141304.91,288145.09,1.0,TP,WIN
2023-10-25 09:31,2023-10-25 09:32,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25247.60,25390.90,3000,429900.00,141304.99,288595.01,1.0,TP,WIN
2023-10-26 12:35,2023-10-26 12:36,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53436.35,53951.50,930,479089.50,93006.71,386082.79,1.0,SL,WIN
2023-10-26 12:36,2023-10-26 12:37,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53408.65,53923.90,960,494640.00,95956.16,398683.84,1.0,SL,WIN
2023-10-26 12:37,2023-10-26 12:38,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53405.05,53920.75,960,495072.00,95950.35,399121.65,1.0,SL,WIN
2023-10-26 12:38,2023-10-26 12:39,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53422.85,53939.05,960,495552.00,95982.76,399569.24,1.0,SL,WIN
2023-10-26 12:39,2023-10-26 12:40,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53448.05,53964.10,930,479926.50,93028.10,386898.40,1.0,SL,WIN
2023-10-26 12:43,2023-10-26 12:44,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53619.05,54136.10,930,480856.50,93324.72,387531.78,1.0,SL,WIN
2023-10-26 12:44,2023-10-26 12:45,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53682.60,54200.40,930,481554.00,93435.45,388118.55,1.0,SL,WIN
2023-10-26 12:48,2023-10-26 12:49,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53745.75,54264.85,930,482763.00,93546.22,389216.78,1.0,SL,WIN
2023-10-26 12:49,2023-10-26 12:50,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53750.95,54270.40,930,483088.50,93555.66,389532.84,1.0,SL,WIN
2023-10-26 12:51,2023-10-26 12:52,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53783.70,54304.05,930,483925.50,93613.40,390312.10,1.0,SL,WIN
2023-10-26 12:53,2023-10-26 12:54,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53871.50,54392.50,930,484530.00,93765.88,390764.12,1.0,SL,WIN
2023-10-26 12:55,2023-10-26 12:56,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,53885.15,54405.35,930,483786.00,93788.40,389997.60,1.0,SL,WIN
2023-10-26 12:57,2023-10-26 12:58,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,54041.40,54561.80,930,483972.00,94058.50,389913.50,1.0,SL,WIN
2023-10-26 13:00,2023-10-26 13:01,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,54139.65,54661.60,930,485413.50,94230.22,391183.28,1.0,SL,WIN
2023-10-26 13:05,2023-10-26 13:06,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,54387.90,54911.40,930,486855.00,94660.97,392194.03,1.0,SL,WIN
2023-10-26 13:07,2023-10-26 13:08,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,54469.60,54994.15,930,487831.50,94803.44,393028.06,1.0,SL,WIN
2023-10-26 13:09,2023-10-26 13:10,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,54554.90,55079.30,930,487692.00,94950.56,392741.44,1.0,SL,WIN
2023-10-26 13:10,2023-10-26 13:11,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,54576.55,55102.05,930,488715.00,94989.39,393725.61,1.0,SL,WIN
2023-10-26 13:12,2023-10-26 13:13,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,54716.10,55241.80,930,488901.00,95230.65,393670.35,1.0,SL,WIN
2023-10-26 13:14,2023-10-26 13:15,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,54772.70,55299.55,930,489970.50,95329.91,394640.59,1.0,SL,WIN
2023-10-26 14:30,2023-10-26 14:49,NIFTY,FUTURE,S13_EMA_Ribbon_Scalp_Fast,LONG,29446.55,29585.25,2550,353685.00,20479.04,333205.96,19.0,TP,WIN
2023-10-26 15:00,2023-10-26 15:01,BANKNIFTY,PE,S8_EMA_Ribbon_Trend_Rider,SHORT,52893.05,53065.15,1440,-247824.00,141593.08,-389417.08,1.0,SL,LOSS
2023-10-26 15:01,2023-10-26 15:02,BANKNIFTY,PE,S8_EMA_Ribbon_Trend_Rider,SHORT,52893.25,53065.05,1440,-247392.00,141593.43,-388985.43,1.0,SL,LOSS
2023-10-26 15:02,2023-10-26 15:03,BANKNIFTY,PE,S8_EMA_Ribbon_Trend_Rider,SHORT,52893.40,53064.80,1440,-246816.00,141593.57,-388409.57,1.0,SL,LOSS
2023-10-27 09:30,2023-10-27 09:34,NIFTY,FUTURE,S13_EMA_Ribbon_Scalp_Fast,LONG,29475.25,29392.55,2550,-210885.00,20374.37,-231259.37,4.0,SL,LOSS
2023-10-27 09:36,2023-10-27 09:51,NIFTY,FUTURE,S10_Tick_Scalp_Bid_Ask_Compression,SHORT,29355.80,29246.80,2550,277950.00,20324.27,257625.73,15.0,TP,WIN
2023-10-30 12:15,2023-10-30 12:16,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25288.90,25431.85,3000,428850.00,141533.58,287316.42,1.0,TP,WIN
2023-10-30 12:16,2023-10-30 12:17,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25288.90,25432.05,3000,429450.00,141534.43,287915.57,1.0,TP,WIN
2023-11-06 09:16,2023-11-06 09:17,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.90,25299.25,3000,424050.00,140797.02,283252.98,1.0,TP,WIN
2023-11-06 09:17,2023-11-06 09:18,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.85,25299.35,3000,424500.00,140797.37,283702.63,1.0,TP,WIN
2023-11-06 09:18,2023-11-06 09:19,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.80,25299.45,3000,424950.00,140797.73,284152.27,1.0,TP,WIN
2023-11-06 09:19,2023-11-06 09:20,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.70,25299.50,3000,425400.00,140797.81,284602.19,1.0,TP,WIN
2023-11-06 09:20,2023-11-06 09:21,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.65,25299.55,3000,425700.00,140797.96,284902.04,1.0,TP,WIN
2023-11-06 09:21,2023-11-06 09:22,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.60,25299.60,3000,426000.00,140798.10,285201.90,1.0,TP,WIN
2023-11-06 09:22,2023-11-06 09:23,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.55,25299.70,3000,426450.00,140798.46,285651.54,1.0,TP,WIN
2023-11-06 09:23,2023-11-06 09:24,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.45,25299.75,3000,426900.00,140798.54,286101.46,1.0,TP,WIN
2023-11-06 09:24,2023-11-06 09:25,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.40,25299.70,3000,426900.00,140798.26,286101.74,1.0,TP,WIN
2023-11-06 09:25,2023-11-06 09:26,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.40,25299.70,3000,426900.00,140798.26,286101.74,1.0,TP,WIN
2023-11-06 09:26,2023-11-06 09:27,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.45,25299.60,3000,426450.00,140797.90,285652.10,1.0,TP,WIN
2023-11-06 09:27,2023-11-06 09:28,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.55,25299.55,3000,426000.00,140797.82,285202.18,1.0,TP,WIN
2023-11-06 09:28,2023-11-06 09:29,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25157.60,25299.45,3000,425550.00,140797.47,284752.53,1.0,TP,WIN
2023-11-07 11:16,2023-11-07 11:17,BANKNIFTY,PE,S2_VWAP_Reversion_BankNifty,SHORT,55804.10,55962.30,1350,-213570.00,140035.78,-353605.78,1.0,SL,LOSS
2023-11-08 09:16,2023-11-08 09:17,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25240.70,25382.45,3000,425250.00,141259.98,283990.02,1.0,TP,WIN
2023-11-08 09:17,2023-11-08 09:18,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25240.70,25382.45,3000,425250.00,141259.98,283990.02,1.0,TP,WIN
2023-11-08 09:18,2023-11-08 09:19,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25240.75,25382.30,3000,424650.00,141259.41,283390.59,1.0,TP,WIN
2023-11-08 09:19,2023-11-08 09:20,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25240.85,25382.40,3000,424650.00,141259.97,283390.03,1.0,TP,WIN
2023-11-08 09:20,2023-11-08 09:21,NIFTY,CE,S8_EMA_Ribbon_Trend_Rider,LONG,25240.75,25382.50,3000,425250.00,141260.26,283989.74,1.0,TP,WIN
2023-11-08 09:21,2023-11-08 09:30,BANKNIFTY,PE,S27_Gap_Up_Down_Fade_Options,SHORT,63760.60,64105.65,1200,-414060.00,142310.66,-556370.66,9.0,SL,LOSS
2023-11-09 09:31,2023-11-09 09:34,NIFTY,PE,S7_Gap_Fill_Opening,SHORT,29480.60,29565.50,2550,-216495.00,139739.96,-356234.96,3.0,SL,LOSS
2023-11-09 10:19,2023-11-09 10:20,BANKNIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,66463.30,67102.65,750,479512.50,93288.95,386223.55,1.0,SL,WIN
2023-11-09 10:23,2023-11-09 10:24,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,30800.85,31097.20,1650,488977.50,95110.85,393866.65,1.0,SL,WIN
2023-11-09 10:24,2023-11-09 10:25,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,30823.50,31119.35,1650,488152.50,95179.09,392973.41,1.0,SL,WIN
2023-11-09 10:25,2023-11-09 10:26,NIFTY,STRANGLE,S18_VWAP_Mean_Reversion_Options_Straddle,LONG,30788.70,31084.20,1650,487575.00,95071.64,392503.36,1.0,SL,WIN
